P,q
0.012824979,0.239336354
0.035527947,0.412684951
0.058584558,0.538695907
0.07123817,0.594324164
0.090472318,0.666963948
0.101655161,0.704581939
0.129444316,0.792084974
0.152354979,0.856601942
0.166389423,0.892764495
0.206084994,0.983930477
0.245358623,1.061171672
0.283942449,1.128182946
0.322658609,1.187846919
0.361021506,1.242064343
0.39991205,1.29012782
0.438529056,1.333390479
0.47723008,1.372512793
0.515622618,1.406700748
0.554306513,1.439003496
0.59282819,1.466035336
0.631652617,1.490703447
0.670056832,1.515737295
0.708778159,1.535929092
0.747118658,1.554454146
0.785905898,1.569731381
0.824229146,1.588503002
0.86307652,1.600447533
0.901669114,1.610633163
0.940336165,1.621584482
0.978951788,1.629203458
1.013295059,1.6396836
1.056007918,1.653054635
1.094646,1.664275084
1.133405247,1.670759652
