tad_pu,tbl_rp,pr_bl,rec_bl
30,30,0.5919411077944182,2.187839356491468
130,30,0.5664843448751993,0.46222802642438754
230,30,0.5487496500938829,0.25643432891115586
330,30,0.5340383510533198,0.176091372657378
430,30,0.5212950216498227,0.13396874510830586
530,30,0.5099483585530318,0.108216095749527
630,30,0.5002823733419629,0.09100690218272323
730,30,0.4920541413225785,0.0786877045637449
830,30,0.4849631440338449,0.06933541687145217
930,30,0.47883840306766184,0.06198519822226827
30,130,0.6490468918109954,4.492876687690197
130,130,0.5882934651512122,0.9851903245099457
230,130,0.5513353448767655,0.5470258960202027
330,130,0.5271308766790714,0.3783535273890363
430,130,0.5090038312986945,0.28918551362187656
530,130,0.4952893808233356,0.2343204082520797
630,130,0.48415748747583737,0.1969995941368882
730,130,0.4749968876329892,0.1699475285840441
830,130,0.4672866867360156,0.14939317458916865
930,130,0.46094015347916567,0.13328741413278547
30,230,0.6710461772041745,6.780367992748671
130,230,0.6101779087814685,1.4910553678002079
230,230,0.5663863135298859,0.8235943551063374
330,230,0.537447309411108,0.5661364209644975
430,230,0.5164253541910052,0.4304059950683379
530,230,0.5009845680419882,0.34717454965304995
630,230,0.4888238477450486,0.2907415501928416
730,230,0.47893216425808,0.24990271497202826
830,230,0.47097949125253613,0.21906979352132364
930,230,0.46481116262815053,0.19509029524845506
30,330,0.6832899567808596,9.206134594853538
130,330,0.6236299632415673,1.9939293371034394
230,330,0.5786583295086613,1.0949403108552358
330,330,0.5472564079013845,0.7472692956325055
430,330,0.5243926144434301,0.5645303241085905
530,330,0.5075183379005213,0.4527936265758757
630,330,0.4944808931506332,0.37745867176400477
730,330,0.4841767653939752,0.323291217782978
830,330,0.4761188051699302,0.282636277337299
930,330,0.47027054237059823,0.25128529568999036
30,430,0.6914628262804635,11.708131960090219
130,430,0.6309469450690656,2.4876796152536387
230,430,0.5860679699136511,1.357423565317688
330,430,0.5527719469578151,0.9195113171287251
430,430,0.528271592610752,0.6901517080686552
530,430,0.5097851337646604,0.5500545611292856
630,430,0.4957378031838451,0.45617827868553634
730,430,0.4859286166482721,0.3883992817026625
830,430,0.480011330262255,0.338994896082823
930,430,0.4759992152362859,0.3012883696715451
