P,q
0.015388999,0.024645754
0.058888849,0.088301408
0.090580331,0.132316005
0.129152531,0.183188388
0.152425683,0.213613987
0.166596885,0.232311652
0.206125864,0.280673338
0.24521034,0.327412754
0.283370394,0.373121537
0.322754366,0.416973929
0.361375156,0.460561836
0.399994033,0.504198897
0.438426891,0.547485634
0.477257788,0.589217957
0.515742928,0.629454028
0.55419259,0.670122917
0.592985607,0.710458323
0.631633128,0.749812296
0.670247246,0.789368666
0.708850419,0.828293409
0.747385807,0.867932524
0.785874081,0.905967743
0.824546746,0.943130204
0.863253345,0.980329878
0.901799068,1.015791071
0.940391092,1.051963741
0.979085241,1.087181539
1.013415899,1.120789228
1.056061218,1.158850737
1.094865627,1.195281508
1.133492398,1.230639482
