P,q
0.014129165,0.836829545
0.032339861,1.214547693
0.055516102,1.497448739
0.079233862,1.679451133
0.102715599,1.805333867
0.129229612,1.908991179
0.152244556,1.978287135
0.16686855,2.014868497
0.206950238,2.08747348
0.245247955,2.143648099
0.284097975,2.186906912
0.322639548,2.2251281
0.361293131,2.25681473
0.399748448,2.283904745
0.438444468,2.306285357
0.476796766,2.328610471
0.515719411,2.347579641
0.554386544,2.366249754
0.592883809,2.382693502
0.631373791,2.399996392
0.670027822,2.416726621
0.708713467,2.433290848
0.74727042,2.448545133
0.78590427,2.462814424
0.824467651,2.477138948
0.863104594,2.491232671
0.901601818,2.504309198
0.940148599,2.517009993
0.97887253,2.530752751
1.013435917,2.543100342
1.056035341,2.561355126
1.094705972,2.57298166
